date,amount,description,category,type
2023-11-01,150.00,超市购物,食品,支出
2023-11-05,45.50,午餐聚会,餐饮,支出
2023-11-10,2000.00,工资,收入,收入
2023-11-15,300.00,电费,生活费用,支出
2023-11-20,75.80,衣服,购物,支出
2023-11-25,1000.00,副业收入,兼职,收入
2023-11-28,120.00,交通费,交通,支出
2023-11-30,50.00,网费,生活费用,支出
2023-12-01,160.00,超市购物,食品,支出
2023-12-05,50.00,午餐聚会,餐饮,支出
2023-12-10,2000.00,工资,收入,收入
2023-12-15,320.00,电费,生活费用,支出
2023-12-20,95.50,衣服,购物,支出
2023-12-25,1200.00,副业收入,兼职,收入
2023-12-28,130.00,交通费,交通,支出
2023-12-30,50.00,网费,生活费用,支出
2024-01-01,180.00,新年超市购物,食品,支出
2024-01-05,60.00,新年午餐聚会,餐饮,支出
2024-01-10,2200.00,工资,收入,收入
2024-01-15,350.00,电费,生活费用,支出 
