date,amount,description,category,type
2025-01-01,200.00,超市购物,食品,支出
2025-01-03,65.50,午餐聚会,餐饮,支出
2025-01-05,2500.00,工资,收入,收入
2025-01-07,380.00,电费,生活费用,支出
2025-01-08,120.80,冬季外套,购物,支出
2025-01-10,1200.00,副业收入,兼职,收入
2025-01-12,150.00,交通费,交通,支出
2025-01-15,60.00,网费,生活费用,支出
2025-01-16,450.00,医疗保险,保险,支出
2025-01-18,85.00,健身房会员,健康,支出
2025-01-20,3000.00,年终奖,收入,收入
2025-01-22,180.00,电影和晚餐,娱乐,支出
2025-01-23,95.00,书籍,教育,支出
2025-01-25,800.00,投资收益,投资,收入
2025-01-26,130.00,手机费,通讯,支出
2025-01-27,250.00,礼物,购物,支出
2025-01-28,75.00,水费,生活费用,支出
2025-01-29,350.00,家具,家居,支出
2025-01-30,500.00,兼职收入,兼职,收入
2025-01-31,90.00,宠物用品,宠物,支出
2025-02-01,220.00,超市购物,食品,支出
2025-02-03,70.50,午餐聚会,餐饮,支出
2025-02-05,2500.00,工资,收入,收入
2025-02-06,360.00,电费,生活费用,支出
2025-02-08,150.80,春节礼品,购物,支出
2025-02-10,1300.00,副业收入,兼职,收入
2025-02-12,160.00,交通费,交通,支出
2025-02-14,300.00,情人节礼物,购物,支出
2025-02-15,60.00,网费,生活费用,支出
2025-02-16,90.00,健身课程,健康,支出
2025-02-18,1500.00,春节红包,收入,收入
2025-02-20,230.00,春节聚餐,餐饮,支出
2025-02-22,110.00,电影票,娱乐,支出
2025-02-24,750.00,投资收益,投资,收入
2025-02-25,130.00,手机费,通讯,支出
2025-02-26,80.00,水费,生活费用,支出
2025-02-27,200.00,服装,购物,支出
2025-02-28,400.00,房屋维修,家居,支出
2025-02-28,550.00,兼职收入,兼职,收入
2025-02-28,95.00,宠物医疗,宠物,支出
2025-03-01,230.00,超市购物,食品,支出
2025-03-03,75.50,午餐聚会,餐饮,支出
2025-03-05,2600.00,工资,收入,收入
2025-03-07,370.00,电费,生活费用,支出
2025-03-09,180.80,春季服装,购物,支出
2025-03-10,1250.00,副业收入,兼职,收入
2025-03-12,170.00,交通费,交通,支出
2025-03-15,60.00,网费,生活费用,支出
2025-03-16,480.00,医疗费用,医疗,支出
2025-03-18,95.00,健身用品,健康,支出
2025-03-20,1200.00,项目奖金,收入,收入
2025-03-22,190.00,餐厅聚会,餐饮,支出
2025-03-23,120.00,书籍,教育,支出
2025-03-25,850.00,投资收益,投资,收入
2025-03-26,135.00,手机费,通讯,支出
2025-03-27,85.00,水费,生活费用,支出
2025-03-28,280.00,家居装饰,家居,支出
2025-03-29,600.00,兼职收入,兼职,收入
2025-03-30,130.00,宠物用品,宠物,支出
2025-03-31,220.00,办公用品,工作,支出
2025-04-01,240.00,超市购物,食品,支出
2025-04-03,80.50,午餐聚会,餐饮,支出
2025-04-05,2600.00,工资,收入,收入
2025-04-07,350.00,电费,生活费用,支出
2025-04-08,200.80,春季服装,购物,支出
2025-04-10,1350.00,副业收入,兼职,收入
2025-04-12,180.00,交通费,交通,支出
2025-04-15,65.00,网费,生活费用,支出
2025-04-16,150.00,健康检查,医疗,支出
2025-04-18,100.00,健身会员,健康,支出
2025-04-20,1800.00,季度奖金,收入,收入
2025-04-22,210.00,餐厅聚会,餐饮,支出
2025-04-23,140.00,在线课程,教育,支出
2025-04-25,900.00,投资收益,投资,收入
2025-04-26,135.00,手机费,通讯,支出
2025-04-27,90.00,水费,生活费用,支出
2025-04-28,320.00,家电,家居,支出
2025-04-29,650.00,兼职收入,兼职,收入
2025-04-30,140.00,宠物医疗,宠物,支出
2025-04-30,250.00,礼品,购物,支出
2025-05-01,250.00,超市购物,食品,支出
2025-05-03,85.50,午餐聚会,餐饮,支出
2025-05-05,2700.00,工资,收入,收入
2025-05-07,360.00,电费,生活费用,支出
2025-05-09,220.80,夏季服装,购物,支出
2025-05-10,1400.00,副业收入,兼职,收入
2025-05-12,190.00,交通费,交通,支出
2025-05-15,65.00,网费,生活费用,支出
2025-05-16,200.00,牙医,医疗,支出
2025-05-18,110.00,运动器材,健康,支出
2025-05-20,1000.00,项目收入,收入,收入
2025-05-22,230.00,餐厅聚会,餐饮,支出
2025-05-23,160.00,书籍,教育,支出
2025-05-25,950.00,投资收益,投资,收入
2025-05-26,140.00,手机费,通讯,支出
2025-05-27,95.00,水费,生活费用,支出
2025-05-28,380.00,家居装饰,家居,支出
2025-05-29,700.00,兼职收入,兼职,收入
2025-05-30,150.00,宠物用品,宠物,支出
2025-05-31,280.00,节日庆祝,娱乐,支出 
2025-06-01,260.00,超市购物,食品,支出
2025-06-03,90.50,午餐聚会,餐饮,支出
2025-06-05,2700.00,工资,收入,收入
2025-06-07,370.00,电费,生活费用,支出
2025-06-08,250.80,夏季服装,购物,支出
2025-06-10,1450.00,副业收入,兼职,收入
2025-06-12,200.00,交通费,交通,支出
2025-06-15,65.00,网费,生活费用,支出
2025-06-16,180.00,体检,医疗,支出
2025-06-18,120.00,健身房会员,健康,支出
2025-06-20,1200.00,项目奖金,收入,收入
2025-06-22,250.00,端午节聚餐,餐饮,支出
2025-06-23,170.00,在线课程,教育,支出
2025-06-25,980.00,投资收益,投资,收入
2025-06-26,140.00,手机费,通讯,支出
2025-06-27,100.00,水费,生活费用,支出
2025-06-28,420.00,空调维修,家居,支出
2025-06-29,750.00,兼职收入,兼职,收入
2025-06-30,160.00,宠物医疗,宠物,支出
2025-06-30,300.00,端午节礼品,购物,支出
